ticker,name,total_ret,win_rate,hit_rate,sharpe,mdd,trades
7660,이수페타시스,56051.66,73.7,73.9,4.03,-24.56,118
298040,효성중공업,42466.4,68.9,72.2,4.81,-16.8,122
22100,포스코DX,27178.56,64.9,67.7,2.71,-28.89,111
71970,HD현대마린엔진,26361.74,70.8,68.7,3.98,-18.93,130
150,두산,20292.99,68.9,68.9,3.59,-23.45,119
42700,한미반도체,18957.39,69.4,66.8,3.21,-24.7,108
103590,일진전기,18192.16,69.4,64.3,3.87,-18.26,124
267260,HD현대일렉트릭,17546.32,74.8,67.9,4.6,-13.87,119
10120,LS ELECTRIC,15615.44,78.2,71.9,4.13,-18.04,119
34020,두산에너빌리티,12411.4,73.3,72.9,4.51,-17.67,116
322000,HD현대에너지솔루션,11494.14,65.7,67.3,3.21,-13.72,108
402340,SK스퀘어,8868.91,75.5,71.9,4.08,-23.51,106
272210,한화시스템,8596.02,71.2,70.5,2.63,-31.26,111
42660,한화오션,7899.88,71.3,68.8,3.58,-26.76,115
500,가온전선,7160.75,67.5,69.8,2.97,-27.38,120
3670,포스코퓨처엠,6930.14,67.3,72.4,3.53,-27.24,110
12450,한화에어로스페이스,6546.15,67.6,63.5,2.94,-22.8,111
7810,코리아써키트,6231.03,70.6,69.0,2.82,-24.95,119
155,두산우,6186.37,70.6,72.9,3.15,-28.58,119
660,SK하이닉스,6034.37,72.4,72.7,4.44,-18.22,116
39490,키움증권,5831.31,78.1,70.6,4.14,-21.11,114
47050,포스코인터내셔널,5312.59,64.8,70.3,3.34,-18.39,108
64350,현대로템,5290.56,67.6,66.9,3.44,-25.5,111
79550,LIG넥스원,5273.13,67.5,63.3,2.97,-41.67,114
82740,한화엔진,5231.99,68.9,70.5,3.73,-19.23,122
66970,엘앤에프,4887.3,70.3,68.7,2.76,-30.77,101
9830,한화솔루션,4141.71,68.6,69.1,2.83,-30.19,102
353200,대덕전자,3872.34,64.7,67.4,3.44,-18.87,116
457190,이수스페셜티케미컬,3852.25,56.1,65.2,2.64,-31.66,82
6260,LS,3826.44,68.1,72.4,3.27,-20.15,119
6800,미래에셋증권,3724.44,72.7,69.1,2.92,-22.99,110
880,한화,3611.68,68.0,68.4,2.29,-20.98,103
5070,코스모신소재,3578.59,63.6,65.9,2.53,-29.55,110
1440,대한전선,3043.56,70.7,70.9,3.13,-19.45,116
307950,현대오토에버,2965.43,69.7,65.5,2.53,-22.28,109
267270,HD건설기계,2939.59,73.5,66.6,3.05,-23.29,113
336260,두산퓨얼셀,2759.1,70.4,69.4,3.53,-31.3,108
17960,한국카본,2610.95,70.5,67.3,3.66,-27.89,122
1430,세아베스틸지주,2591.93,64.5,66.8,2.68,-31.71,110
9540,HD한국조선해양,2546.21,76.3,69.2,3.6,-19.73,118
14680,한솔케미칼,2518.15,66.4,68.4,3.63,-16.36,116
3570,SNT다이내믹스,2353.01,63.1,65.2,2.72,-42.83,130
97230,HJ중공업,2308.3,54.8,69.0,1.91,-36.16,104
10060,OCI홀딩스,2239.4,64.6,65.5,2.78,-19.01,113
3230,삼양식품,2231.2,68.3,64.2,2.53,-34.47,126
10140,삼성중공업,2205.6,71.4,71.0,3.72,-21.97,126
329180,HD현대중공업,2152.8,63.3,63.6,3.23,-19.54,120
103140,풍산,2134.08,67.3,65.9,2.6,-38.35,110
71050,한국금융지주,2050.45,72.7,72.3,3.53,-27.19,110
9420,한올바이오파마,2002.36,61.7,64.0,2.62,-24.7,120
720,현대건설,1929.1,66.0,65.7,2.7,-31.61,103
88350,한화생명,1922.45,69.7,73.0,3.51,-26.17,109
990,DB하이텍,1868.5,66.7,66.5,3.05,-21.79,105
2380,KCC,1788.84,69.5,70.3,3.52,-15.16,118
52690,한전기술,1782.03,66.7,65.3,2.3,-23.29,108
11790,SKC,1752.32,65.8,68.1,2.51,-26.69,114
112610,씨에스윈드,1706.79,70.1,66.2,3.28,-22.06,107
5930,삼성전자,1696.33,77.3,72.4,4.94,-10.81,110
454910,두산로보틱스,1671.66,62.0,65.8,2.6,-30.23,71
85620,미래에셋생명,1633.76,71.4,65.8,3.02,-11.68,112
47040,대우건설,1572.78,73.8,71.9,2.36,-23.34,103
23590,다우기술,1499.7,71.2,69.0,3.63,-20.26,111
6400,삼성SDI,1498.12,68.0,73.4,3.41,-17.79,97
28260,삼성물산,1474.18,76.1,74.3,4.12,-7.71,109
128940,한미약품,1432.8,68.8,65.7,3.17,-19.94,112
