feature,importance_cls,importance_reg
sec_금융,0.021626763,0.01668917
NIKKEI,0.020731002,0.01302514
DOW,0.019938344,0.018476767
KOSPI,0.018205792,0.022134721
month,0.017951723,0.023443425
DXY,0.01571115,0.024327071
OIL_WTI,0.014312376,0.014596948
day_of_month,0.013826172,0.017103411
sec_방산,0.013689665,0.013822831
GOLD,0.013513647,0.0150728375
US10Y,0.013342588,0.016561119
sec_바이오,0.01323533,0.01424939
OIL_BRENT,0.012977306,0.01725022
SP500,0.012830294,0.011413517
NASDAQ,0.012306683,0.009224726
VIX,0.012159726,0.011862124
sec_반도체,0.012032593,0.013042631
SHANGHAI,0.0117131965,0.011855993
USD_KRW,0.011326007,0.011459679
EUR_KRW,0.010860586,0.008284238
sec_중공업,0.010817517,0.009090141
us_ICLN,0.010657752,0.011729022
sec_자동차,0.010451603,0.008256146
foreign_trend,0.010349039,0.009023758
dist_52w_low,0.01031835,0.008972731
dart_net_margin,0.010230415,0.005007838
HSI,0.010029227,0.011783466
sec_물류,0.009870826,0.0048119253
us_LIT,0.009845457,0.0097017065
SOX,0.009837887,0.013614628
at_52w_high,0.00982888,0.005700039
us_XLI,0.009734309,0.009862586
GOLD_chg,0.009573008,0.008846939
JPY_KRW,0.009440058,0.013689456
sec_소비,0.0094315605,0.0059648734
KOSDAQ,0.00941061,0.013469706
sec_IT,0.0093359,0.008045537
sec_건설,0.009332742,0.006484783
dart_rev_growth,0.0092663495,0.008738838
us_XLK,0.009137069,0.009914275
sec_2차전지,0.009044037,0.013448313
us_XLE,0.008987727,0.008554754
dart_roe,0.008969096,0.009447438
us_ITA,0.008795648,0.0074802437
SOX_chg,0.008750752,0.010472136
us_XLF,0.0087362155,0.010218639
ma60,0.008637541,0.0073273936
dart_op_margin,0.008591291,0.0065530264
dart_oi_growth,0.008559781,0.0075601456
us_SOXX,0.0084531875,0.008196277
atr,0.008365694,0.00901668
NIKKEI_chg,0.008362,0.010095012
sec_유통,0.008336821,0.012299469
USD_KRW_chg,0.008124458,0.006860068
sent_ma3,0.007998202,0.0045211986
VIX_chg,0.007994087,0.00956846
ma200,0.007960681,0.007260411
dist_52w_high,0.007856018,0.0074412674
ma20,0.007695429,0.0052723833
ret_52w,0.007613394,0.0075515825
hist_vol,0.0076105073,0.008139524
SP500_chg,0.0075874035,0.0050335876
dist_ma60,0.007568853,0.0076764426
ret_10d,0.007476903,0.0063373484
us_SMH,0.0074740816,0.0071865576
dist_ma200,0.0074652242,0.007580056
HSI_chg,0.0073264292,0.006298927
OIL_WTI_chg,0.007271097,0.006821006
bert_score,0.0072614164,0.0068476833
ma120,0.007236641,0.00654673
sr_ratio,0.007193116,0.006684825
macd_sig,0.0071921735,0.0070807585
us_IBB,0.0071760085,0.0075959754
foreign_net,0.0071510198,0.007765195
US10Y_chg,0.007145515,0.0073146913
macd,0.0070644747,0.0050753555
is_month_start,0.007063394,0.0049634795
sec_보험,0.0069247684,0.0062664305
dist_ma20,0.0069181924,0.008409525
macd_hist,0.006918057,0.006053066
sec_소재,0.006889124,0.008915739
NASDAQ_chg,0.0067363987,0.005418932
sentiment,0.0066893343,0.0065315743
sector_rel,0.00664915,0.0061406
us_sector_ret,0.0066391593,0.005534809
bb_pct,0.006552591,0.0052250326
ret_20d,0.0065086605,0.006602483
p_db,0.0064893365,0.00514326
news_pos,0.0064367517,0.0058989148
sec_에너지,0.0063657127,0.0065086633
ma5,0.0063528824,0.0028839624
dart_debt_ratio,0.006328221,0.0065869223
rsi14,0.006291774,0.0036508837
sec_지주,0.006268415,0.0067633525
p_md,0.006261269,0.0040088864
dist_ma5,0.0061847405,0.005468884
sharpe_mom,0.0061610388,0.005845868
news_neg,0.006150388,0.0053927368
rsi7,0.0061150207,0.0034042636
ret_5d,0.0057433466,0.004669933
p_vb,0.005653508,0.006799881
ret_3d,0.005474878,0.0043002437
vol_ratio,0.005465859,0.0036183186
p_os,0.005382843,0.0046318965
ret_1d,0.0053439355,0.004614966
at_52w_low,0.0052437154,0.0046974337
bounce_score,0.0052059214,0.003538586
p_gc,0.0050696246,0.0036911035
macd_cross,0.004897316,0.0030123503
weekday,0.004807201,0.0068101785
p_rd,0.0044965884,0.0038302517
oil_shock,0.0039227162,0.002352093
is_month_end,0.003540103,0.014868433
SOX_strong,0.003210785,0.0039577526
VIX_high,0.0024247973,0.005479994
USD_strong,0.0,0.016207296
rate_risk,0.0,0.005567022
VIX_extreme,0.0,0.0
fomc,0.0,0.0
sent_momentum,0.0,0.0
inst_net,0.0,0.0
short_ratio,0.0,0.0
